descripcion,categoria
FESTIVAL DE CINE,Ocio
ANALGÉSICO,Salud
PULVERIZADOR LIMPIADOR,Limpieza
PARQUIMETRO,Transporte
BOLSA CAMISETA 48,Ropa
YATEKOMO POLLO GA,Alimentación
SANDALIAS DE PIEL,Ropa
AURICULARES BLUETOOTH,Electrónica
VITAMINA D,Salud
DESINFECTANTE DE SUPERFICIE,Salud
AURICULARES INALÁMBRICOS,Electrónica
CHAQUETA INVIERNO,Ropa
CINTURÓN DE PIEL,Ropa
TARJETA DE TRANSPORTE,Transporte
MINI BISCOTTE COV,Alimentación
BOLSA CAMISETA 48,Ropa
CHALECO TÉCNICO,Ropa
TICKET PARA EL ZOO,Ocio
BOLSO DE BANDOLERA,Ropa
LIMPIADOR DE OLORES,Limpieza
GUANTES DE INVIERNO,Ropa
VENTILADOR PORTÁTIL,Electrónica
ZAPATILLAS DEPORTIVAS,Ropa
TENSIÓMETRO,Salud
CAMISA DE CUADROS,Ropa
BOLSA BASURA AUT,Limpieza
SET DE DIBUJO,Ocio
CHAQUETA DE PIEL,Ropa
TICKET DE TRANSPORTE PÚBLICO,Transporte
ESFREGONA CON MANGO,Limpieza
LIMPIAPARABRISAS,Limpieza
BOLSO DE MANO,Ropa
VIAJE EN TAXI,Transporte
FIDEOS CHINOS,Alimentación
MONITOR 4K,Electrónica
GEL ANTIBACTERIAL,Salud
PALETA DE CERDO I,Alimentación
VESTIDO DE NOCHE,Ropa
ALTAVOZ INTELIGENTE,Electrónica
PAPAS FRITAS,Alimentación
JUEGO DE MESA,Ocio
ESPECTÁCULO DE MAGIA,Ocio
ZAPATOS CASUAL,Ropa
PAÑOS LIMPIA VIDRIOS,Limpieza
JUGO DE MANZANA,Alimentación
VITAMINA D,Salud
MERMELADA DE DURAZNO,Alimentación
TELEVISOR SMART TV,Electrónica
JUEGO DE CARTAS,Ocio
ALQUILER DE BICICLETA,Transporte
BATERÍA RECARGABLE,Electrónica
YATEKOMO POLLO GA,Alimentación
PASAJERO DE TREN,Transporte
BICICLETA ELÉCTRICA,Transporte
GUANTES DE INVIERNO,Ropa
LAPTOP ACER,Electrónica
PILAS PARA MEDICINA,Salud
ESFREGONA CON MANGO,Limpieza
DVR PARA CÁMARAS,Electrónica
PAQUETE DE VENDAS,Salud
ACEITE OLIVA VIRGEN,Alimentación
TARJETA DE BUS GRATIS,Transporte
EMPANADILLAS ATUN,Alimentación
VINAGRE BALSÁMICO,Alimentación
BOTA DE NIEVE,Ropa
PESCADO ENLATADO,Alimentación
BICICLETA ELÉCTRICA,Transporte
BATIDO DE CHOCOLATE,Alimentación
(P)LECHE SEMIDESN,Alimentación
VESTIDO DE NOCHE,Ropa
BICICLETA DE LIMPIEZA,Limpieza
SUAVIZANTE CONCEN,Limpieza
VIAJE EN AUTOCAR,Transporte
CEREALES DESAYUNO,Alimentación
CREMA SOLAR SPF50,Salud
BATIDO DE CHOCOLATE,Alimentación
PILAS PARA MEDICINA,Salud
SUDADERA DE ALGODÓN,Ropa
FIDEOS CHINOS,Alimentación
BOLSA DE HIELO,Salud
BANDA ELÁSTICA,Salud
LENTES DE CONTACTO,Salud
BICICLETA,Transporte
CREMA SOLAR SPF50,Salud
YATEKOMO POLLO GA,Alimentación
MEDIAS LARGAS,Ropa
PASTILLAS PARA GARGANTA,Salud
VITAMINA C,Salud
PAÑOS DE TELA,Limpieza
YATEKOMO YAKISOBA,Alimentación
GALLETAS DE CHOCOLATE,Alimentación
CAMISETA DE DEPORTE,Ropa
ALQUILER DE COCHE,Transporte
PASTILLAS PARA LA TOS,Salud
SUAVIZANTE CONCEN,Limpieza
AUTOBÚS,Transporte
TENSIÓMETRO,Salud
PAÑOS LIMPIA VIDRIOS,Limpieza
DESENGRASANTE,Limpieza
BOTA DE NIEVE,Ropa
PANTALONES VAQUEROS,Ropa
PANTALLA DE CINE,Ocio
PILAS PARA MEDICINA,Salud
EVENTO DE MUSICA EN VIVO,Ocio
CAMISETA ALGODÓN,Ropa
DESINFECTANTE DE SUPERFICIE,Salud
GEL PARA DOLOR MUSCULAR,Salud
HARD DRIVE EXTERNO,Electrónica
CARGADOR INALÁMBRICO,Electrónica
BOLSO DE MANO,Ropa
MANTENIMIENTO DE COCHE,Transporte
SUPLEMENTO DE HIERRO,Salud
DESINFECTANTE MANOS,Limpieza
BATIDO DE CHOCOLATE,Alimentación
SUPLEMENTO DE HIERRO,Salud
BOLSO DE BANDOLERA,Ropa
LIMPIADOR DE PAVIMENTO,Limpieza
BOTA DE NIEVE,Ropa
COMBUSTIBLE GASOLINA,Transporte
CUBO DE FREGAR,Limpieza
CAMISA DE CUADROS,Ropa
LIMPIAPARABRISAS,Limpieza
GUANTES DE LIMPIEZA,Limpieza
ZAPATILLAS DEPORTIVAS,Ropa
AJO GRANULADO LA,Alimentación
JUEGO DE CARTAS,Ocio
DESINFECTANTE MANOS,Limpieza
GORRA DE SOL,Ropa
PANTALONES DE YOGA,Ropa
BICICLETA DE LIMPIEZA,Limpieza
PARACETAMOL 500MG,Salud
TENSIÓMETRO,Salud
JERINGAS DESCARTABLES,Salud
VIAJE EN TREN,Ocio
MASCARILLA FFP2,Salud
LIMPIADOR DE MUEBLES,Limpieza
TAXI,Transporte
TELEVISOR SMART TV,Electrónica
CONSOLA DE VIDEOJUEGOS,Electrónica
JUGO DE MANZANA,Alimentación
MULTA DE TRÁFICO,Transporte
DRON CON CÁMARA,Electrónica
HAMBURGUESAS VEGETALES,Alimentación
LIMPIADOR MULTISUPERFICIE,Limpieza
ZAPATOS CASUAL,Ropa
MICRÓFONO USB,Electrónica
TICKET PARA UN EVENTO,Ocio
EVENTO DE MUSICA EN VIVO,Ocio
ANTISÉPTICO,Salud
COMPRESAS FRÍAS,Salud
AUTOBÚS,Transporte
SUBSCRIPCIÓN NETFLIX,Ocio
LIMPIADOR DE BAÑO,Limpieza
MATERIALES DE ESCUELA,Ocio
AURICULARES BLUETOOTH,Electrónica
GORRA DE SOL,Ropa
TARJETA DE BUS GRATIS,Transporte
CÁMARA DIGITAL,Electrónica
CLASE DE YOGA,Ocio
LENTES DE CONTACTO,Salud
MANTENIMIENTO DE COCHE,Transporte
VIDEOJUEGO CONSOLA,Ocio
PANTALLA PORTÁTIL,Electrónica
PANTALLA DE CINE,Ocio
CLASE DE YOGA,Ocio
TRONQUITOS DE MAI,Alimentación
ANTIBIÓTICO EN CREMA,Salud
LIMPIADOR DE OLORES,Limpieza
LENTES DE CONTACTO,Salud
ALTAVOZ INTELIGENTE,Electrónica
GORRA DE SOL,Ropa
CAMISETA ALGODÓN,Ropa
BATIDO DE CHOCOLATE,Alimentación
BICICLETA DE LIMPIEZA,Limpieza
SERVICIO DE AUTOBÚS,Transporte
MANTENIMIENTO DE COCHE,Transporte
TACOS CALAMAR AL,Alimentación
TACONES ALTO,Ropa
SUBSCRIPCIÓN NETFLIX,Ocio
BOTA DE NIEVE,Ropa
ENTRADA DE CINE,Ocio
ALQUILER DE COCHE,Transporte
BATIDO DE CHOCOLATE,Alimentación
HARD DRIVE EXTERNO,Electrónica
ALTAVOZ INTELIGENTE,Electrónica
GORRA DE SOL,Ropa
BOLETO CONCIERTO,Ocio
PASTILLAS ANTIHISTAMÍNICAS,Salud
PANTALONES DE YOGA,Ropa
ESCOVILLAS DE BAÑO,Limpieza
YATEKOMO YAKISOBA,Alimentación
TICKET DE MUSEO,Ocio
PASTILLAS PARA LA TOS,Salud
HEADSET GAMER,Electrónica
CREMA SOLAR SPF50,Salud
VESTIDO DE NOCHE,Ropa
DESINFECTANTE SPRAY,Limpieza
MINI BISCOTTE COV,Alimentación
LIMPIAPARABRISAS,Limpieza
ALQUILER DE COCHE,Transporte
PASE DE TRANSPORTE,Transporte
LIMPIADOR DE MUEBLES,Limpieza
GEL PARA DOLOR MUSCULAR,Salud
TENSIÓMETRO,Salud
MONITOR 4K,Electrónica
PORTÁTIL HP GAMER,Electrónica
HARD DRIVE EXTERNO,Electrónica
TAXI,Transporte
PASE DE TRANSPORTE,Transporte
PALOMITAS MICROON,Alimentación
AJO GRANULADO LA,Alimentación
AURICULARES BLUETOOTH,Electrónica
BOLETO DE AVIÓN,Transporte
GALLETAS MARÍA,Alimentación
GUANTES DE INVIERNO,Ropa
PANTALLA DE CINE,Ocio
CREMA HIDRATANTE,Salud
GALLETAS MARÍA,Alimentación
MANTENIMIENTO DE COCHE,Transporte
BATERÍA RECARGABLE,Electrónica
PÓSTER DE PELÍCULA,Ocio
PALOMITAS MICROON,Alimentación
DVR PARA CÁMARAS,Electrónica
MERMELADA DE DURAZNO,Alimentación
BICICLETA ELÉCTRICA,Transporte
DESINFECTANTE DE SUPERFICIE,Salud
COMPRESAS FRÍAS,Salud
CARNET DE CONDUCIR,Transporte
TECLADO MECÁNICO,Electrónica
PAÑOS LIMPIA VIDRIOS,Limpieza
PROYECTOR PORTÁTIL,Electrónica
JUEGO DE CARTAS,Ocio
SERVICIO DE AUTOBÚS,Transporte
PANTALLA PORTÁTIL,Electrónica
BOLSO DE MANO,Ropa
SEGURO DE COCHE,Transporte
SMARTWATCH,Electrónica
JABÓN DE MANOS,Limpieza
LIBRO DE AUTOAYUDA,Ocio
DESENGRASANTE,Limpieza
PATE DE CERDO COV,Alimentación
AJO GRANULADO LA,Alimentación
BOLSA BASURA AUT,Limpieza
BATIDO DE CHOCOLATE,Alimentación
PASE DE TRANSPORTE,Transporte
TACOS CALAMAR AL,Alimentación
BOLETO DE AVIÓN,Transporte
DESINFECTANTE SPRAY,Limpieza
TARJETA DE BUS,Transporte
JUEGO DE CARTAS,Ocio
BICICLETA,Transporte
BOLSAS DE PLÁSTICO,Limpieza
PASE DE CINE,Ocio
CLASE DE COCINA,Ocio
BATERÍA RECARGABLE,Electrónica
IBUPROFENO 600MG,Salud
AJO GRANULADO LA,Alimentación
IBUPROFENO 600MG,Salud
HARD DRIVE EXTERNO,Electrónica
TICKET DE TREN,Transporte
PASTILLAS ANTIHISTAMÍNICAS,Salud
CARGADOR INALÁMBRICO,Electrónica
PASE DE CINE,Ocio
FALDA VERANO,Ropa
CHAQUETA INVIERNO,Ropa
ESPECTÁCULO DE MAGIA,Ocio
JERINGAS DESCARTABLES,Salud
CUBO DE FREGAR,Limpieza
TELEFONO INTELIGENTE,Electrónica
PORTÁTIL HP GAMER,Electrónica
ALQUILER DE BICICLETA,Transporte
BOLETO DE AVIÓN,Transporte
SUAVIZANTE CONCEN,Limpieza
SALERO COVIRAN 20,Alimentación
PANTALONES CORTOS,Ropa
PASE ANUAL DE PARQUE TEMÁTICO,Ocio
SURIMI AL AJILLO,Alimentación
ASPIRADORA ROBOT,Electrónica
SANDALIAS DE VERANO,Ropa
VIAJE EN TAXI,Transporte
PASTILLAS PARA LA TOS,Salud
MATERIALES DE ESCUELA,Ocio
TICKET PARA EL ZOO,Ocio
PAÑOS DE TELA,Limpieza
PANTALONES FORMAL,Ropa
SUDADERA DE ALGODÓN,Ropa
SUPLEMENTO DE HIERRO,Salud
TICKET DE MUSEO,Ocio
CEREALES DESAYUNO,Alimentación
ANALGÉSICO,Salud
COMBUSTIBLE GASOLINA,Transporte
MERMELADA DE DURAZNO,Alimentación
BILLETE DE METRO,Transporte
PATE DE CERDO COV,Alimentación
GEL PARA DOLOR MUSCULAR,Salud
TACOS CALAMAR AL,Alimentación
PANTALONES VAQUEROS,Ropa
CAMISETA DE DEPORTE,Ropa
PAÑOS DE MICROFIBRA,Limpieza
PARQUIMETRO,Transporte
AURICULARES BLUETOOTH,Electrónica
CAMISETA ALGODÓN,Ropa
LIMPIADOR DE OLORES,Limpieza
LIMPIADOR DE OLORES,Limpieza
SANDALIAS DE PIEL,Ropa
YATEKOMO POLLO GA,Alimentación
PAÑOS LIMPIA VIDRIOS,Limpieza
BICICLETA,Transporte
COMBUSTIBLE GASOLINA,Transporte
CHAQUETA DE PIEL,Ropa
CHALECO TÉCNICO,Ropa
PASAJERO DE TREN,Transporte
TICKET PARA EL ZOO,Ocio
VIAJE EN TAXI,Transporte
PROYECTOR HD,Electrónica
TELEVISOR SMART TV,Electrónica
JUEGO DE MESA,Ocio
BOLSA DE HIELO,Salud
PAQUETE DE VENDAS,Salud
PATE DE CERDO COV,Alimentación
LIBRO DE COCINA,Ocio
PASE DE TRANSPORTE,Transporte
PAÑOS DE TELA,Limpieza
SURIMI AL AJILLO,Alimentación
JABÓN DE MANOS,Limpieza
TELEFONO INTELIGENTE,Electrónica
LIMPIADOR DE MUEBLES,Limpieza
DESINFECTANTE DE SUPERFICIE,Salud
DRON CON CÁMARA,Electrónica
MASCARILLA FFP2,Salud
CÁMARAS DE SEGURIDAD,Electrónica
CREMA SOLAR SPF50,Salud
ACEITE OLIVA VIRGEN,Alimentación
PATE DE CERDO COV,Alimentación
PANTALONES DE CHÁNDAL,Ropa
TACONES ALTO,Ropa
BILLETE DE METRO,Transporte
GEL PARA DOLOR MUSCULAR,Salud
CÁMARAS DE SEGURIDAD,Electrónica
AURICULARES BLUETOOTH,Electrónica
CLASE DE YOGA,Ocio
GUANTES DE LIMPIEZA,Limpieza
EMPANADILLAS ATUN,Alimentación
JABÓN PARA ROPA,Limpieza
MONITOR 4K,Electrónica
SANDALIAS DE VERANO,Ropa
GEL ANTIBACTERIAL,Salud
SUPLEMENTO DE HIERRO,Salud
YATEKOMO POLLO GA,Alimentación
MASCARILLA FFP2,Salud
SURIMI AL AJILLO,Alimentación
CÁMARAS DE SEGURIDAD,Electrónica
COMPRESAS FRÍAS,Salud
PAÑOS LIMPIA VIDRIOS,Limpieza
PAPEL HUMEDO WC C,Limpieza
DESINFECTANTE MANOS,Limpieza
BOLSAS DE BASURA RECICLABLES,Limpieza
VIDEOJUEGO CONSOLA,Ocio
PANTALONES CORTOS,Ropa
JUEGO DE CARTAS,Ocio
SUBSCRIPCIÓN NETFLIX,Ocio
BOTA DE NIEVE,Ropa
LIBRO DE AUTOAYUDA,Ocio
PANTALONES DE CHÁNDAL,Ropa
ALQUILER DE COCHE,Transporte
PAÑOS LIMPIA VIDRIOS,Limpieza
ASPIRADORA ROBOT,Electrónica
ANTIBIÓTICO EN CREMA,Salud
CAMISA DE CUADROS,Ropa
DETERGENTE LIQ.AD,Limpieza
BICICLETA ELÉCTRICA,Transporte
MICRÓFONO USB,Electrónica
TOALLITAS DESINFECTANTES,Limpieza
COMBUSTIBLE GASOLINA,Transporte
PASTILLAS ANTIHISTAMÍNICAS,Salud
CREMA PARA EL ACNÉ,Salud
CARGADOR USB TIPO C,Electrónica
EXCURSIÓN GUIADA,Ocio
PANTALONES FORMAL,Ropa
CHAQUETA INVIERNO,Ropa
VENTILADOR PORTÁTIL,Electrónica
BOLSA CAMISETA 48,Ropa
PAÑOS LIMPIA VIDRIOS,Limpieza
ZAPATOS CASUAL,Ropa
ALQUILER DE BICICLETA,Transporte
SUDADERA DE ALGODÓN,Ropa
TICKET PARA EL ZOO,Ocio
MATERIALES DE ESCUELA,Ocio
CHAQUETA INVIERNO,Ropa
ROUTER WIFI,Electrónica
CLASE DE PINTURA,Ocio
EVENTO DE MUSICA EN VIVO,Ocio
HEADSET GAMER,Electrónica
PASE DE TRANSPORTE,Transporte
HAMBURGUESAS VEGETALES,Alimentación
BOLSAS DE BASURA RECICLABLES,Limpieza
FIDEOS CHINOS,Alimentación
BOLSA CAMISETA,Ropa
LAPTOP ACER,Electrónica
JABÓN PARA ROPA,Limpieza
BOLSO DE BANDOLERA,Ropa
SANDALIAS DE PIEL,Ropa
GEL ANTIBACTERIAL,Salud
EXCURSIÓN GUIADA,Ocio
PASTA DE DIENTES,Salud
CLASE DE YOGA,Ocio
BOLSA DE TRANSPORTE,Transporte
JABÓN PARA ROPA,Limpieza
PAPEL HUMEDO WC C,Limpieza
LIBRO DE AUTOAYUDA,Ocio
BICICLETA,Transporte
PARACETAMOL 500MG,Salud
CREMA SOLAR SPF50,Salud
PASTA DE DIENTES,Salud
GELATINA DE FRESA,Alimentación
PAQUETE DE PINTURAS,Ocio
TABLET SAMSUNG,Electrónica
ANALGÉSICO,Salud
DESENGRASANTE,Limpieza
MATERIALES DE ESCUELA,Ocio
PANTALLA PORTÁTIL,Electrónica
COMBUSTIBLE GASOLINA,Transporte
CLASE DE COCINA,Ocio
EVENTO DE MUSICA EN VIVO,Ocio
PANTALONES VAQUEROS,Ropa
GUANTES DE INVIERNO,Ropa
PASTILLAS PARA GARGANTA,Salud
ZAPATILLAS DEPORTIVAS,Ropa
TARJETA DE TRANSPORTE,Transporte
SUDADERA DE ALGODÓN,Ropa
ANTIBIÓTICO EN CREMA,Salud
BICICLETA DE LIMPIEZA,Limpieza
PAQUETE DE PINTURAS,Ocio
(P)AZUCAR COVIRAN,Alimentación
LIBRO DE AUTOAYUDA,Ocio
BOLSA CAMISETA,Ropa
PANTALONES CORTOS,Ropa
TARJETA DE BUS,Transporte
VIAJE EN TAXI,Transporte
CARGADOR DE COCHE,Electrónica
LIMPIADOR DE BAÑO,Limpieza
ARROZ BASMATI,Alimentación
LIBRO DE AUTOAYUDA,Ocio
BATIDO DE CHOCOLATE,Alimentación
MICRÓFONO USB,Electrónica
TARJETA DE TRANSPORTE,Transporte
ZAPATOS CASUAL,Ropa
GEL PARA DOLOR MUSCULAR,Salud
VIDEOJUEGO CONSOLA,Ocio
LIMPIADOR DE BAÑO,Limpieza
CAMISETA ALGODÓN,Ropa
TORTILLAS DE MAÍZ,Alimentación
VESTIDO DE NOCHE,Ropa
GEL PARA DOLOR MUSCULAR,Salud
YATEKOMO POLLO GA,Alimentación
BICICLETA PLEGABLE,Transporte
LIMPIADOR DE FREGADERO,Limpieza
CONSOLA DE VIDEOJUEGOS,Electrónica
PASTILLAS PARA LA TOS,Salud
BOLSO DE BANDOLERA,Ropa
EMPANADILLAS ATUN,Alimentación
TICKET DE TRANSPORTE PÚBLICO,Transporte
PANTALONES DE YOGA,Ropa
MONITOR 4K,Electrónica
CREMA PARA EL ACNÉ,Salud
IBUPROFENO 600MG,Salud
CÁMARA DE ACCIÓN,Electrónica
PASAJERO DE TREN,Transporte
DESINFECTANTE MANOS,Limpieza
GEL PARA DOLOR MUSCULAR,Salud
TICKET PARA UN EVENTO,Ocio
MICRÓFONO USB,Electrónica
BOLSO DE MANO,Ropa
PESCADO ENLATADO,Alimentación
PASE ANUAL DE PARQUE TEMÁTICO,Ocio
VIAJE EN TREN,Ocio
HEADSET GAMER,Electrónica
PASE ANUAL DE PARQUE TEMÁTICO,Ocio
TICKET DE MUSEO,Ocio
LIBRO DE COCINA,Ocio
BICICLETA,Transporte
CARGADOR DE COCHE,Electrónica
BOLSAS DE PLÁSTICO,Limpieza
BATIDO DE CHOCOLATE,Alimentación
PANTALONES VAQUEROS,Ropa
VENTILADOR PORTÁTIL,Electrónica
LENTES DE CONTACTO,Salud
TECLADO MECÁNICO,Electrónica
PAQUETE DE VENDAS,Salud
FALDA VERANO,Ropa
HEADSET GAMER,Electrónica
SANDALIAS DE PIEL,Ropa
JUGO DE MANZANA,Alimentación
TICKET DE TRANSPORTE PÚBLICO,Transporte
PATE DE CERDO COV,Alimentación
TICKET DE PARKING,Transporte
